District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
California 22nd,CA-22,Republican,Devin,Nunes,(DEH-vin NOO-niss),/'dɛ.vɪn 'nu.nɪs/,2002,1973,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,32.4,67.6,28,72,42.6,52.1,R+,6,41.6,56.6,R+,10,43.8,56.2,R+,10,48,2.8,39.4,7.4,0.6,1.8,23.5,312,31.4,237,"$53,886.00",223,32.4,67.6,28,72,38.1,61.9,43,,,,,133342,37289,96053,0,81555,132386,240137,102292,125089,221278,92005,125213,218875,95918,122957,-6.1,-9.6,-9.9,704840,298022,19708,316151,51311,4125,15523,499241,239522,13868,196766,37184,3102,8799
California 23rd,CA-23,Republican,Kevin,McCarthy,(KEH-vin muh-CAR-thee),/'kɛ.vɪn mə.'kɑɹ.θi/,2006,1965,Man,White - Non-Hispanic,Baptist,No,Re-elected,30.8,69.2,25.2,74.8,36.1,58.1,R+,13,36.1,61.5,R+,15,37.5,62.5,R+,16,55.7,5.7,30.8,4.8,0.9,2.1,20.5,364,24.1,360,"$59,341.00",163,30.8,69.2,25.2,74.8,0,100,44,,,,,134043,33726,100317,0,0,158161,244864,88314,142351,227297,82119,139816,229314,85903,143411,-12.8,-15,-16.2,701673,355329,41191,248938,31516,6304,18395,503535,280367,28523,155326,23953,4696,10670
California 24th,CA-24,Democratic,Salud,Carbajal,(sah-LOOD KAR-buh-hahl),/sɑ.'lud 'kɑɹ.bə.hɑl/,2016,1964,Man,Hispanic - Mexican,Roman Catholic,No,Open - Retired,53.4,46.6,51.9,48.1,56.7,36.5,D+,10,54.1,43.1,D+,4,57.8,42.2,D+,4,62,2,29,4.5,0.5,2.1,33.6,133,44.2,91,"$63,199.00",127,53.4,46.6,51.9,48.1,55.1,44.9,45,,,,,198794,103228,95566,0,156749,127746,312160,176979,113887,292406,158119,126049,303345,175426,127919,9.7,3.7,4.1,703683,402081,12497,239822,28931,3282,17070,553080,343003,10813,160320,24762,2712,11470
California 25th,CA-25,Republican,Steve,Knight,(STEVE NITE),/stiv naɪt/,2014,1966,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,46.9,53.1,0,100,50.3,43.6,D+,2,47.8,49.7,R+,3,50.7,49.3,R+,3,50.3,7.6,31.5,8.1,0.3,2.2,27,244,32.4,221,"$75,732.00",62,46.9,53.1,0,100,45.2,54.8,46,,,,,114072,0,114072,0,106982,129593,273218,137491,119249,252249,120701,125258,242411,122998,119413,2.4,-2.9,-2.9,701281,321359,56375,247883,53335,2151,20178,501767,252616,38092,158077,40478,1691,10813
California 26th,CA-26,Democratic,Julia,Brownley,(JOO-lee-uh BROWN-lee),/'dʒu.li.ə 'bɹaʊn.li/,2012,1952,Woman,White - Non-Hispanic,Episcopalian,No,Re-elected,60.4,39.6,51.3,48.7,57.9,36,D+,11,54,43.7,D+,3,57.8,42.2,D+,4,50.9,1.8,38.4,6.9,0.3,1.7,32.4,149,43.3,98,"$77,744.00",51,60.4,39.6,51.3,48.7,52.7,47.3,47,,,,,169829,87176,82653,0,139072,124863,292232,169083,105259,273647,147753,119677,278538,160865,117673,10.5,3.3,4.1,707145,326988,11594,304625,45590,2001,16347,523593,266606,9206,200923,36133,1613,9112
California 27th,CA-27,Democratic,Judy,Chu,(JOO-dee CHOO),/'dʒu.ɾi tʃu/,2009 Special,1953,Woman,Asian - Chinese,Baptist,No,Re-elected,67.4,32.6,59.4,40.6,66,28.4,D+,19,62.6,35,D+,12,63.1,36.9,D+,9,31.3,4.5,24.4,38,0.2,1.7,41.8,60,54.2,36,"$71,343.00",78,67.4,32.6,59.4,40.6,64,36,48,,,,,127580,75728,51852,0,154191,86817,264466,174544,74984,257970,161528,90278,262353,165471,96882,18.8,12.2,9.4,704160,205453,31301,190005,259948,1052,16401,558942,174820,25275,136134,212299,845,9569
California 28th,CA-28,Democratic,Adam,Schiff,(ADD-uhm SHIFF),/'æ.ɾəm ʃɪf/,2000,1960,Man,White - Non-Hispanic,Jewish,No,Re-elected,78,22,76.5,0,72.1,22.3,D+,25,70.3,26.5,D+,21,72.1,27.9,D+,18,58.1,2.5,23,13.6,0.2,2.7,45.1,37,48.8,61,"$61,405.00",147,78,22,100,0,76.5,23.5,49,,,,,120264,91996,0,28268,188703,58008,289254,208645,64607,266628,187441,70757,266374,192035,74339,25.2,20.6,18.4,700877,389271,16269,178368,94498,1080,21391,582270,338469,14400,133994,78940,975,15492
California 29th,CA-29,Democratic,Tony,Cardenas,(TOH-nee CAR-deh-nahs) [R is trilled],/'to.ni 'kɑr.dɛ.nas/,2012,1963,Man,Hispanic - Mexican,Christian,No,Re-elected,100,0,74.6,25.4,77.7,16.8,D+,31,77,20.5,D+,27,76,24,D+,22,21.7,4,64.1,8.5,0.2,1.4,19.7,380,34.1,193,"$47,608.00",316,100,0,74.6,25.4,100,0,50,,,,,67141,50096,17045,0,111287,0,196196,152517,32963,167889,129323,34454,144433,109792,34641,31.1,27,22.3,701446,128951,25537,482104,52695,1330,10829,512286,111330,20288,328545,43662,1078,7383
California 30th,CA-30,Democratic,Brad,Sherman,(BRADD SHUR-muhn),/bɹæd 'ʃɜɹ.mən/,1996,1954,Man,White - Non-Hispanic,Jewish,No,Re-elected,72.6,27.4,65.6,34.4,69.1,25.7,D+,22,65.3,32.1,D+,15,67.3,32.7,D+,14,56.6,4.2,24,12.3,0.2,2.7,42.7,54,49.9,56,"$75,853.00",61,72.6,27.4,65.6,34.4,100,0,51,,,,,131883,86568,45315,0,247851,0,302805,209149,77701,285226,186301,91680,269653,181568,88085,21.8,15.1,13.6,705295,376090,29570,190750,84259,1214,23412,559607,316869,23509,134303,68605,1018,15303
California 31st,CA-31,Democratic,Pete,Aguilar,(PETE AGG-yuh-lar),/pit 'æ.gjə.lɑɹ/,2014,1979,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,56.1,43.9,51.7,48.3,57.7,36.6,D+,10,57.2,40.6,D+,7,58,42,D+,4,34.4,11,44.3,8,0.3,2,22.2,337,31.7,232,"$54,453.00",217,56.1,43.9,51.7,48.3,0,100,52,,,,,99784,51622,48162,0,0,161219,228825,131960,83701,206242,118043,83822,208418,120873,87545,10.1,6.5,4.3,704230,209488,76800,347395,51105,2154,17288,501208,172656,55105,221916,39859,1738,9934
California 32nd,CA-32,Democratic,Grace,Napolitano,(GRACE nuh-pol-ee-TAN-oh) [O is unrounded],/gɹeɪs nə.ˌpo.li.'tæ.no/,1998,1936,Woman,Hispanic - Mexican,Roman Catholic,No,Re-elected,100,0,59.7,40.3,66.6,27.7,D+,20,65.2,32.5,D+,15,64.3,35.7,D+,11,21.2,2.7,57.8,16.9,0.2,1.2,20.2,369,28.6,284,"$61,756.00",141,100,0,59.7,40.3,65.7,34.3,53,,,,,84406,50353,34053,0,124903,65208,220046,146459,60921,204169,133061,66269,207398,133459,73939,19.5,14.8,10.7,709057,128699,17992,443630,107252,1396,10088,521893,110400,14295,301571,88219,1134,6274
California 33rd,CA-33,Democratic,Ted,Lieu,(TEDD LOO),/tɛd lu/,2014,1969,Man,Asian - Chinese,Roman Catholic,No,Re-elected,66.4,33.6,59.2,40.8,67.8,26.5,D+,21,60.6,36.8,D+,10,65.5,34.5,D+,12,70.1,2.8,10.3,13.7,0.2,2.9,62.4,2,65.9,10,"$97,074.00",12,66.4,33.6,59.2,40.8,54,46,54,,,,,183031,108331,74700,0,171860,146660,353897,239982,93706,346504,210010,127421,350465,229683,120782,20.8,10.3,11.8,697199,476364,19387,78838,94476,1101,27033,568279,398285,15806,58795,78114,925,16354
California 34th,CA-34,Democratic,Xavier,Becerra,(ha-vee-AIR bih-SAIR-uh) [second R is trilled],/hɑ.vi.'ɛɹ bɨ.'sɛ.rə/,1992,1958,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,100,0,100,0,83.6,10.7,D+,38,83,14.1,D+,33,79.6,20.4,D+,26,10.9,5.1,60.5,22.1,0.2,1.2,24.1,300,55.5,32,"$38,326.00",412,100,0,100,0,85.6,14.4,55,,,,,61607,61607,0,0,120367,20223,184601,154259,19784,153699,127510,21739,135799,108129,27670,37.5,33.5,25.9,705324,64935,31020,461664,137158,1362,9185,539883,58861,27285,326761,119107,1121,6748
California 35th,CA-35,Democratic,Norma,Torres,(NOR-muh TOR-ez),/'nɔɹ.mə 'tɔ.ɹɛz/,2014,1965,Woman,Hispanic - Guatemalan,Roman Catholic,No,Re-elected,72.4,27.6,100,0,67.7,26.9,D+,20,67.4,30.6,D+,17,66.4,33.6,D+,13,19.1,7.2,65,7.2,0.3,1.3,14.9,423,24.3,355,"$56,215.00",197,72.4,27.6,100,0,100,0,56,,,,,62255,62255,0,0,142680,0,188611,127757,50822,161732,108983,49433,160361,106523,53838,20.4,16.8,12.7,699719,110455,46303,487449,43584,1692,10236,484975,92609,34824,315064,34918,1326,6234
California 36th,CA-36,Democratic,Raul,Ruiz,(ra-OOL roo-EEZ),/ɹæ.'ul ɹu.'iz/,2012,1972,Man,Hispanic - Mexican,Seventh-day Adventist Church,No,Re-elected,62.1,37.9,54.2,45.8,52.2,43.4,D+,3,50.7,47.5,R+,0,51.8,48.2,R+,2,51.9,3.5,39.5,3.1,0.7,1.3,19.6,382,28.6,284,"$46,471.00",338,62.1,37.9,54.2,45.8,52.9,47.1,57,,,,,134139,72682,61457,0,110189,97953,237370,123795,103051,212939,107914,101156,205988,106785,99203,3.5,-0.3,-1.8,700371,310748,25061,326871,20622,5052,12017,521859,270869,18295,205919,16231,3641,6904
California 37th,CA-37,Democratic,Karen,Bass,(KAIR-in BASS),/'kɛ.ɹɪn bæs/,2010,1953,Woman,Black - African-American,Baptist,No,Re-elected,100,0,84.3,15.7,85.7,9.6,D+,39,84.9,12.7,D+,35,86.4,13.6,D+,33,27.2,24.8,34.3,10.6,0.2,2.8,37.7,94,65.5,11,"$51,114.00",262,100,0,84.3,15.7,86.4,13.6,58,,,,,114838,96787,18051,0,207039,32541,276134,236621,26608,261858,222329,33307,255824,220967,34857,38.8,35,32.7,705221,172925,172513,271274,65280,1174,22055,553286,150708,137337,189967,58812,952,15510
California 38th,CA-38,Democratic,Linda,Sánchez,(LIN-duh SAN-chez),/'lɪn.də 'sæn.tʃɛz/,2002,1969,Woman,Hispanic - Mexican,Roman Catholic,No,Re-elected,70.5,29.5,59.1,40.9,67,27.4,D+,20,64.9,33,D+,14,63.8,36.2,D+,10,21.9,3.5,57.2,15.7,0.3,1.3,22.3,334,24.9,344,"$62,697.00",129,70.5,29.5,59.1,40.9,67.5,32.5,59,,,,,98480,58192,40288,0,145280,69807,248224,166224,68033,229875,149141,75780,234510,149600,84910,19.8,14.3,10.1,695463,131697,24637,427083,99713,1649,10684,516385,113339,18216,295564,81317,1369,6580
California 39th,CA-39,Republican,Ed,Royce,(ED ROYS),/ɛd ɹɔɪs/,1992,1951,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,42.8,57.2,31.5,68.5,51.5,42.9,D+,3,47.1,50.8,R+,4,48.8,51.2,R+,5,37.4,2.4,28.5,29.8,0.2,1.8,41.1,66,40.6,124,"$81,183.00",39,42.8,57.2,31.5,68.5,42.2,57.8,60,,,,,133225,41906,91319,0,106360,145607,272471,140230,116782,263530,124108,133742,266301,129989,136312,3.4,-3.8,-4.9,696460,239399,15997,224194,199446,1257,16167,530634,198202,12519,151476,158032,1019,9386
California 40th,CA-40,Democratic,Lucille,Roybal-Allard,(loo-SEEL ROY-bawl AL-lurd),/lu.'sil 'ɹɔɪ.bɔl 'æ.ləɹd/,1992,1941,Woman,Hispanic - Mexican,Roman Catholic,No,Re-elected,71.4,0,100,0,82.2,12.8,D+,35,81.5,16.5,D+,31,79.5,20.5,D+,26,6.7,5.5,84.2,2.8,0.2,0.6,9.5,433,19.1,419,"$42,497.00",379,100,0,100,0,100,0,61,,,,,49379,49379,0,0,125553,0,164714,135472,21077,141918,115637,23446,131325,104433,26892,35.4,31.2,25.8,703827,38003,35859,608058,16299,997,4611,478423,31970,26289,402942,13599,779,2844
California 41st,CA-41,Democratic,Mark,Takano,(MARK tuh-KAHN-noh),/mɑɹk tə.'kɑ.noʊ/,2012,1960,Man,Asian - Japanese,Methodist,Gay,Re-elected,65,35,56.6,43.4,61,33.1,D+,14,61.5,36.3,D+,11,60.7,39.3,D+,7,30.9,9.6,50.3,6.9,0.4,1.9,17,410,28.3,293,"$58,592.00",169,65,35,56.6,43.4,59,41,62,,,,,82884,46948,35936,0,103578,72074,206961,126197,68526,185429,114040,67314,174916,106235,68681,13.7,10.9,7,701109,182700,66182,392728,41005,2459,16035,490407,151364,47309,246668,33867,1899,9300
California 42nd,CA-42,Republican,Ken,Calvert,(KEN KAL-vert),/kɛn 'kæl.vəɹt/,1992,1953,Man,White - Non-Hispanic,Congregationalist,No,Re-elected,41.2,58.8,34.3,65.7,41.4,53.4,R+,7,41.4,56.5,R+,10,45,55,R+,9,50.8,5.3,32.1,9.3,0.4,2.1,24.1,300,26.3,319,"$72,536.00",71,41.2,58.8,34.3,65.7,39.4,60.6,63,,,,,113390,38850,74540,0,84702,130245,268305,111103,143175,232520,96212,131438,212612,95675,116937,-7.4,-9.7,-8.7,709841,330416,36689,256739,62490,2857,20650,502971,255312,26836,161500,46843,2167,10313
California 43rd,CA-43,Democratic,Maxine,Waters,(MACK-seen WAH-terz),/'mæk.sin 'wɑ.ɾəɹz/,1990,1938,Woman,Black - African-American,Christian,No,Re-elected,76.1,23.9,71,29,78.4,16.7,D+,31,78,20,D+,28,77.1,22.9,D+,23,17.7,24.2,41.7,14.1,0.2,2.1,24,304,40.9,120,"$50,885.00",265,76.1,23.9,71,29,100,0,64,,,,,98202,69681,28521,0,200894,0,234060,183434,39039,222219,173342,44485,217683,167844,49839,31.3,27.6,23.4,703742,105987,165892,324296,88512,1349,17706,520049,91816,125866,216776,73466,1096,11029
California 44th,CA-44,Democratic,Nanette,Barragan,(nuh-NET BAIR-uh-gen),/nə.'nɛt 'bɛ.ɹə.gɛn/,2016,1976,Woman,Hispanic - Mexican,Roman Catholic,No,Open - Ran for LA County Supervisor and won,100,0,86.7,0,83,12.3,D+,36,84.7,13.6,D+,34,83.4,16.6,D+,30,9,18,64.5,7.1,0.2,1.2,13.4,429,29.4,267,"$49,037.00",299,100,0,100,0,100,0,65,,,,,68862,59670,0,9192,165898,0,197802,164251,24261,183586,155459,24995,167638,139728,27910,36,34.2,29.7,702899,50147,117907,480731,43546,1254,9314,487334,43768,87781,314209,34779,1013,5784
California 45th,CA-45,Republican,Mimi,Walters,(MEE-mee WAWL-terz),/'mi.mi 'wɔl.təɹz/,2014,1962,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,41.4,58.6,34.9,65.1,49.8,44.4,D+,2,43,54.8,R+,8,47.7,52.3,R+,6,58.3,1.5,16.4,21,0.2,2.7,54.7,12,54,39,"$93,374.00",18,41.4,58.6,34.9,65.1,41.5,58.5,66,,,,,162902,56819,106083,0,121814,171417,325967,162449,144713,309399,133114,169489,309553,147542,162011,1.8,-8,-6,692013,384853,10010,128724,142173,1217,25036,531667,310132,7937,86929,111541,974,14154
California 46th,CA-46,Democratic,Lou,Correa,(LOO kor-AY-uh) [R is trilled in Spanish],/'lu 'kɔ.reɪ.ə/,2016,1958,Man,Hispanic - Mexican,Roman Catholic,No,Open - Ran for Senate and lost,100,0,59.7,40.3,66.3,27.9,D+,19,61.4,36.2,D+,11,60.1,39.9,D+,6,22.5,1.9,60.8,13.3,0.2,1.2,16.8,414,29.2,270,"$57,583.00",175,100,0,59.7,40.3,63.9,36.1,67,,,,,83315,49738,33577,0,95694,54121,180750,119762,50403,155493,95479,56252,152425,91557,60868,19.3,11,6.4,708237,131037,12165,470745,83387,1368,9535,504841,113813,9687,306928,67218,1067,6128
California 47th,CA-47,Democratic,Alan,Lowenthal,(AL-en LOW-en-thawl),/'æ.lɛn 'loʊ.ɛn.θɔl/,2012,1941,Man,White - Non-Hispanic,Jewish,No,Re-elected,63.7,36.3,56,44,62.6,31,D+,16,60,37.5,D+,10,59.5,40.5,D+,6,38.5,7.3,29.6,22.1,0.3,2.2,30.2,185,40.8,122,"$59,744.00",159,63.7,36.3,56,44,56.6,43.4,68,,,,,123400,69091,54309,0,130093,99919,258320,161743,80162,245624,147456,92010,244896,145697,99199,15.8,9.6,5.8,701770,239094,51309,239436,149779,1928,20224,533085,205319,38828,157822,117608,1602,11906
California 48th,CA-48,Republican,Dana,Rohrabacher,(DAY-nuh RUHR-uh-bah-ker),/deɪ.nə 'ɹʌ.ɹə.ˌbɑ.kəɹ/,1988,1947,Man,White - Non-Hispanic,Baptist,No,Re-elected,41.7,58.3,35.9,64.1,47.9,46.2,R+,0,43,54.7,R+,8,47.5,52.5,R+,6,61.5,1,17,18.1,0.2,2.1,44.3,44,51.2,50,"$83,001.00",34,41.7,58.3,35.9,64.1,39,61,69,,,,,174795,62713,112082,0,113358,177144,317328,152035,146595,309496,133103,169249,311625,148080,163545,-0.2,-7.9,-6.2,712874,415230,6680,140691,127786,1515,20972,561701,345365,5482,95599,101923,1271,12061
California 49th,CA-49,Republican,Darrell,Issa,(DAIR-uhl ICE-uh),/'dɛ.ɹəl 'aɪ.sə/,2000,1953,Man,White - Non-Hispanic,Eastern Orthodox,No,Re-elected,49.7,50.3,39.8,60.2,50.7,43.2,D+,3,45.7,52.2,R+,5,50.7,49.3,R+,3,65.4,2.4,22.1,7.6,0.4,2.2,43.5,48,50.4,52,"$81,611.00",37,49.7,50.3,39.8,60.2,41.8,58.2,70,,,,,163142,64981,98161,0,114893,159725,314011,159081,135576,294468,134447,153856,289032,146459,142573,2.9,-5.3,-3,713732,438171,16596,182877,50892,2465,22731,541472,354022,12811,119740,40941,1984,11974
California 50th,CA-50,Republican,Duncan,Hunter,(DUHN-kuhn HUHN-ner),/'dʌŋ.kən 'hʌ.nəɹ/,2008,1976,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,36.5,63.5,28.8,71.2,39.6,54.6,R+,9,37.6,60.4,R+,14,40.4,59.6,R+,13,63.3,2.3,25.7,5.5,0.9,2.2,27.7,232,33.1,208,"$66,103.00",107,36.5,63.5,28.8,71.2,32.3,67.7,71,,,,,157299,45302,111997,0,83455,174838,292878,115864,159822,273289,102649,165104,269249,108686,160563,-9.1,-13.6,-13.3,700614,410047,16301,210423,36142,6908,20793,520756,329692,12043,134076,28646,4941,11358
California 51st,CA-51,Democratic,Juan,Vargas,(WAHN VAR-gus),/wɑn 'vɑɹ.gəs/,2012,1961,Man,Hispanic - Mexican,Roman Catholic,No,Re-elected,72.8,27.2,68.8,31.2,71.8,22.8,D+,25,69.4,28.9,D+,19,67.2,32.8,D+,14,17.6,7.4,63.9,9.1,0.5,1.5,13.6,428,23.3,373,"$41,085.00",398,72.8,27.2,68.8,31.2,71.5,28.5,72,,,,,81950,56373,25577,0,113934,45464,205437,147603,46825,166684,115610,48108,164492,110561,53931,24.8,18.7,13.5,702436,101085,47932,480634,57218,3132,12435,503460,88607,37415,321527,45770,2367,7774
California 52nd,CA-52,Democratic,Scott,Peters,(SKAHT PEE-terz),/skɑt 'pi.ɾəɹz/,2012,1958,Man,White - Non-Hispanic,Lutheran,No,Re-elected,56.5,43.5,51.6,48.4,58.1,35.6,D+,11,52.1,45.7,D+,1,56.1,43.9,D+,2,64.7,2.9,11.6,17.8,0.3,2.8,57.5,8,60.5,20,"$84,479.00",31,56.5,43.5,51.6,48.4,51.2,48.8,73,,,,,191572,98826,92746,0,151451,144459,329258,191325,117057,314748,163911,143726,326265,183133,143132,10.9,1.3,2.4,697659,433164,20283,90611,124125,1958,27518,560637,362782,16208,64846,99553,1592,15656
California 53rd,CA-53,Democratic,Susan,Davis,(SOO-zuhn DAY-viss),/'su.zən 'deɪ.vɪs/,2000,1944,Woman,White - Non-Hispanic,Jewish,No,Re-elected,67,33,58.8,41.2,64.5,29.6,D+,17,61.4,36.4,D+,11,62.5,37.5,D+,9,48.1,7.5,27.6,13.5,0.4,2.9,36.7,102,45.4,85,"$66,917.00",100,67,33,58.8,41.2,61.4,38.6,74,,,,,148044,87104,60940,0,164825,103482,310373,200237,91822,284333,174616,103513,288645,180281,108364,17.4,10.8,8.8,699221,302484,54751,221120,91477,2356,27033,546096,262923,40868,150625,73753,1959,15968
Colorado 1st,CO-01,Democratic,Diana,DeGette,(die-ANN-uh duh-GET),/daɪ.'æn.ə də.'gɛt/,1996,1957,Woman,White - Non-Hispanic,Presbyterian,No,Re-elected,67.9,27.7,65.8,29,69,23.2,D+,24,69,28.8,D+,19,72,28,D+,18,62.2,8,24.2,3.3,0.6,1.8,46.7,33,61.2,19,"$60,576.00",154,71,29,69.4,30.6,71.8,28.2,75,,,,,278491,183281,80682,14528,237579,93217,402463,277790,93486,368798,254400,106334,331085,238267,92818,23.7,18.6,18.3,717603,406873,60035,207066,23415,4076,16138,561585,349330,44977,135637,18571,3241,9829
Colorado 2nd,CO-02,Democratic,Jared,Polis,(JAIR-ed POLL-iss),/'dʒɛ.ɹɛd 'poʊ.lɪs/,2008,1975,Man,White - Non-Hispanic,Jewish,Gay,Re-elected,56.9,37.2,56.7,43.3,56.2,34.9,D+,11,57.9,39.5,D+,7,62.2,37.8,D+,9,86.7,0.7,8.1,2.8,0.4,1.3,54.6,15,57.1,27,"$72,468.00",72,60.5,39.5,56.7,43.3,59.1,40.9,76,,,,,345945,196300,149645,0,234758,162639,471308,264925,164710,440652,255209,174095,409947,255063,154884,10.6,7.5,8.5,720579,608657,5200,70134,20592,2680,13316,568934,493336,4066,45942,15899,2063,7628
Colorado 3rd,CO-03,Republican,Scott,Tipton,(SKAHT TIP-ton),/skɑt 'tɪp.tən/,2010,1956,Man,White - Non-Hispanic,Anglican,No,Re-elected,40.3,54.6,35.7,58,40,52,R+,8,45.8,51.8,R+,5,49.3,50.7,R+,4,75.5,0.7,20.7,0.7,1.2,1.2,30.2,185,35.8,177,"$50,010.00",282,42.5,57.5,38.1,61.9,43.5,56.5,77,,,,,281141,100364,163011,17766,142920,185291,377176,151057,195966,358045,163886,185459,337464,166259,171205,-7.6,-5.1,-4.4,718598,516568,4920,172177,5136,9245,10552,549229,414403,3860,113616,4043,6829,6478
Colorado 4th,CO-04,Republican,Ken,Buck,(KEN BUHK),/kɛn bʌk/,2014,1959,Man,White - Non-Hispanic,Christian,No,Re-elected,31.7,63.5,29.2,64.7,34.3,57.4,R+,14,39.2,58.5,R+,12,42.7,57.3,R+,11,77.2,1.3,18.1,1.7,0.6,1.1,34,132,38.5,146,"$72,390.00",73,33.3,66.7,31.1,68.9,38.6,61.4,78,,,,,286507,83727,185292,17488,125800,200006,402197,137779,230945,357971,140404,209415,324880,138609,186271,-13.7,-11.8,-11,717241,529742,8734,151566,12288,3597,11314,522909,403465,6952,94856,8958,2884,5794
Colorado 5th,CO-05,Republican,Doug,Lamborn,(DUHG LAMB-BORN) [equal stress],/dʌg læm.bɔɹn/,2006,1954,Man,White - Non-Hispanic,Christian,No,Re-elected,30.9,62.3,40.2,59.8,33.2,57.2,R+,14,38.3,59.1,R+,13,40.3,59.7,R+,13,77.1,5.2,12,2.8,0.7,2.3,34.8,122,38.6,143,"$58,882.00",166,33.1,66.9,40.2,59.8,0,100,79,,,,,262855,105673,157182,0,0,199639,371751,123508,212517,339143,129903,200491,315641,127252,188389,-14.4,-12.6,-13.4,719812,530955,37995,102871,19021,4759,24211,539460,415862,28043,64876,14862,3673,12144
Colorado 6th,CO-06,Republican,Mike,Coffman,(MIKE KAWF-min),/maɪk 'kɔf.mn/,2008,1955,Man,White - Non-Hispanic,United Methodist,No,Re-elected,42.6,50.9,43,51.9,50.2,41.3,D+,4,51.6,46.5,D+,1,54.4,45.6,D+,1,67.3,8.4,16.7,5.3,0.4,1.8,41.1,66,48.1,65,"$74,430.00",65,45.6,54.4,45.3,54.7,48.9,51.1,80,,,,,276440,118847,143467,14126,156937,163938,380535,191103,157115,354989,183024,165070,321596,175007,146589,3.8,0.6,0.7,719715,455014,62231,141923,37602,2812,20133,521204,350982,43868,87117,27686,2141,9410
Colorado 7th,CO-07,Democratic,Ed,Perlmutter,(ED PEARL-mutt-er),/ɛd 'pɜɹl.mə.ɾəɹ/,2006,1953,Man,White - Non-Hispanic,Methodist,No,Re-elected,55.2,39.8,55.1,44.9,51.4,39.4,D+,5,56.1,41.3,D+,6,58.5,41.5,D+,5,70.9,1.3,22.7,3.2,0.6,1.3,32.1,153,38.8,141,"$62,330.00",132,58.1,41.9,55.1,44.9,56.7,43.3,81,,,,,269143,148225,120918,0,182460,139066,374616,192637,147645,349920,196276,144379,320862,187678,133184,5.5,5.7,4.8,715648,472984,9663,192950,23171,4075,12805,540266,383135,7045,122418,17424,3115,7129
Connecticut 1st,CT-01,Democratic,John,Larson,(JAHN LAR-suhn),/dʒɑn 'lɑɹ.sən/,1998,1948,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,64.1,33.8,62.3,36.1,59.4,36.3,D+,11,63.3,35.6,D+,12,66.6,33.4,D+,13,68.8,12.9,12.5,4.2,0.1,1.4,36.7,102,41.4,116,"$69,959.00",85,65.5,34.5,63.3,36.7,71.5,28.5,82,,,,,217696,135686,78520,3490,206973,82321,328774,195305,119395,317496,200960,112982,330477,220181,110296,10.9,12,12.9,711905,463950,97473,104464,31262,1058,13698,550375,378925,71209,68830,23058,778,7575
Connecticut 2nd,CT-02,Democratic,Joe,Courtney,(JOH KORT-nee),/dʒoʊ 'kɔɹt.ni/,2006,1953,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,63.2,33.7,62.3,35.5,48.7,45.8,D+,0,55.9,42.6,D+,5,59.4,40.6,D+,6,86,3.7,5.7,2.9,0.4,1.4,34.9,120,36.9,161,"$71,670.00",77,65.3,34.7,63.7,36.3,69.9,30.1,83,,,,,227750,141851,80842,5057,204708,88103,340758,165799,155975,317687,177544,135235,335569,199414,136155,0.4,4.8,5.7,712938,600037,25834,48295,20733,2930,15109,559634,481488,20502,31638,15994,2121,7891
Connecticut 3rd,CT-03,Democratic,Rosa,DeLauro,(ROH-zuh duh-LAR-oh),/'ɹoʊ.zə də.'lɑ.ɹoʊ/,1990,1943,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,69,31,67.1,32.9,55.9,40.4,D+,7,62.6,36.3,D+,11,63.4,36.6,D+,10,72.5,11.6,10.6,3.8,0.2,1.4,35.9,110,38.6,143,"$63,315.00",126,69,31,67.1,32.9,74.7,25.3,84,,,,,210420,141197,69223,0,217585,73726,321837,179832,129968,305600,191296,110912,320348,203090,117258,6.9,11.3,9.7,716978,493119,90043,90729,27822,1127,14138,563641,408545,65179,59640,21414,881,7982
